done	part of speech	phonemes	romanisation	definition	keywords	tags	gloss
TRUE	verb (intransitive)	bsøː	bsoo	warn, inform someone of danger	warn	social	
TRUE	noun (inanimate)	bsøː.dø̃j	bsoodói	warning	warning	social	
TRUE	adjective	bsə.cə	bsycy	in vain, to no effect, uselessly, ineffectively, for no reason	vain, in vain, to no effect, uselessly, ineffectively, for no reason		
TRUE	noun (animate)	byɬ.biɬ	buhlbihl	louse, tick, one of many small creatures that live in Nomai fur	louse, tick, bug		
TRUE	noun (inanimate)	by.nã	buná	path, route, trajectory (object's changing location over time)	path, route, trajectory		
TRUE	verb (intransitive)	by.rẽ	buré	assess, judge, summarise deep-dive knowledge for a differently hyperfocused audience, give a verdict	assess, judge, summarise		
TRUE	noun (inanimate)	byːɬ	buuhl	asteroid, meteor, rocky body of negligible gravity; piece of space debris	asteroid, meteor, space debris		
TRUE	noun (inanimate)	byː.maj	buumai	atmosphere, sky; (name) used as a stand-in for any unknown phenomenon whose identity cannot (sadly) be investigated right now	atmosphere, sky, placeholder	names, science, social	
TRUE	noun (animate)	bə	by	team, crew, force, squad	team, crew, force, squad		
TRUE	noun (animate)	bəj.sa	byisa	young adult	young adult	family	
TRUE	noun (inanimate)	bəl	byl	head, part of a Nomai with the brain, sense organs, and antlers	head	body	
TRUE	numeral	bə.ɲøl.be	bynnolbe	2,176,782,336 (6^12)	2,176,782,336, 6^12	numbers	
TRUE	verb (transitive)	bəɾ.ʎa	byrlla	chisel, neaten, adjust, make symmetrical, decorate, finish	chisel, neaten, adjust, decorate, finish		
TRUE	verb (transitive)	bəs	bys	{agent} gives gratitude/thanks/credit to {experiencer}	gratitude, thanks, credit	social	
TRUE	noun (inanimate)	bə.sø̃j	bysói	gratitude, thanks, credit	gratitude, thanks, credit	social	
TRUE	noun (inanimate)	bə̃s.ɾẽɾ.he	býsrérhe	strap, belt, sling; arch, yoke (as from one shoulder pad to the other)	strap, belt, sling, arch, yoke	objects	
TRUE	adverb	bə.weːj.ɾi	byweeiri	twistedly, evilly, in neglect, with grievous danger involved	twisted, evil, twistedly, evilly, neglect, danger	social	
TRUE	noun (inanimate)	bə̃ː.ʎẽ	býyllé	atom	atom	science	
TRUE	adjective	bəːɾ.ʎø̃	byyrlló	medium-nice, decent, average in properness or politeness	nice, okay, decent	social	
TRUE	noun (inanimate)	ca	ca	the phoneme /c/ and the matching letter	/c/, c	letters	
TRUE	adjective	caːl	caal	intended, the right one, correct, fitting, suitable	intended, right, correct, fitting, suitable		
TRUE	noun (inanimate)	caːʎ	caall	Nomai cubit, unit of distance equal to 0.6524 metres (approximately an adult Nomai forearm)	foot, metre, meter, cubit	science, spatial	
TRUE	verb (transitive)	caː.pə̃ɾ	caapýr	endanger, risk, compromise, be a hazard to	endanger, risk, compromise, hazard		
TRUE	pronoun	caːɾ	caar	impersonal pronoun, like "one" in "one should not steal" or "someone" in "someone has eaten my sandwich". Behaves like an animate singular.	one, someone, impersonal		
TRUE	noun (animate)	ca.cø̃	cacó	child, offspring	child, offspring	family	
TRUE	verb (intransitive)	ca.dal	cadal	answer, respond, communicate back	answer, respond		
TRUE	noun (inanimate)	ca.dyɾ	cadur	model, miniature, prop, physical prototype	model, miniature, prop, prototype	objects	
TRUE	noun (animate)	ca.dwi	cadwi	curiosity, the drive to seek explanations, scientific method	curiosity, science, scientific method	science	
TRUE	verb (transitive)	caj	cai	{agent} receive/get/acquire/obtain {experiencer}; {experiencer} appear, show up, come in	receive, get, gain, acquire, obtain, appear		
TRUE	noun (inanimate)	cãj.dẽw	cáidéu	myth, legend, folklore	myth, legend, folklore	language	
TRUE	adjective	cajl.ma	cailma	harsh, strenuous, laborious, taxing	harsh, strenuous, laborious, taxing		
TRUE	verb (transitive)	cã.mã	cámá	restore, reset, put into previous state	restore, reset		
TRUE	verb (transitive)	cã.paw	cápau	interrupt, disrupt, intrude on, cause discontinuity in	interrupt, disrupt, intrude		
TRUE	noun (inanimate)	cã.piː	cápii	memory (space), drive, database (usually electronic)	memory, drive, database	technology	
TRUE	noun (inanimate)	cãs	cás	brain	brain	body	
TRUE	verb (transitive)	cã.sə̃ː	cásýy	have the theoretical knowledge to (do something), know the steps, be able to verbalise a process	know, be able, can		
TRUE	noun (inanimate)	ca.ta	cata	stone, pebble	stone, pebble	objects	
TRUE	noun (inanimate)	ca.ta ɬø.tə.ʙyː.mã	cata hlotyvuumá	projection stone	projection stone	objects, tools	
TRUE	verb (intransitive)	caw.ma	cauma	lie, recline, lounge	lie, recline, lounge	body	
TRUE	noun (inanimate)	caw.tãː	cautáa	(navigation) heading, leg, one instruction in a series of directions; period, interval, connected region limited by a start and an end; window of opportunity, tolerance range	heading, leg, instruction, direction; period, interval, window, opportunity, tolerance range	spatial	
TRUE	noun (inanimate)	cã.ɕø.sel	cáxosel	series, sequence, queue, chain, linear arrangement of something	series, sequence, queue, chain, array		
TRUE	verb (transitive)	ce.di	cedi	replicate, simulate, account for behaviour of	replicate, simulate, account	science	
TRUE	noun (inanimate)	ceː.lãː	ceeláa	medicine, additive, any substance introduced to an interacting system to alleviate strain or protect something	medicine, additive, drug	technology	
TRUE	adjective	cẽː.ɲa	céenna	strange, weird, unaccounted for, at the edge of predictability	strange, weird, unaccounted		
TRUE	noun (inanimate)	cẽːɾ	céer	metal (mass noun for the material)	metal	materials	
TRUE	verb (transitive)	cẽːtɬe	céetle	crack, chip, cause to come apart along a structurally weak line	crack, chip		
TRUE	verb (transitive)	cẽ.ɸi	céfi	suspend, pause, put on hold	suspend, pause, hold		
TRUE	adjective	cel	cel	bright, luminous, glowing, shining, radiant	bright, luminous, glowing, shining, radiant		
TRUE	verb (intransitive)	cẽ.ɾẽɕ	céréx	(archaic) graze in an expanding spiral	graze, spiral		
TRUE	noun (animate)	ceɾ.taw	certau	baby, infant	baby, infant	family	
TRUE	noun (inanimate)	ces‍	ces‍	taste, flavour	taste, flavour, flavor	food	
TRUE	adjective	cẽs.cø	césco	medium-loudness, average loud/quiet	medium-loudness, loud, quiet		
TRUE	noun (inanimate)	cẽs.daɾ	césdar	spark, arc, flash, glint, glitter, any transient light	spark, arc, flash, glint, glitter		
TRUE	noun (inanimate)	cẽs.daɾ.cel	Césdarcel	(place name) Bright Spark (compound of césdar 'flash' + cel 'bright')	Bright Spark	placenames	
TRUE	noun (animate)	ce.tɬi	cetli	bug, insect, one of many small creatures that live in Nomai vegetation	bug, insect	animals	
TRUE	noun (inanimate)	cẽ.ɕ	céx	goal, objective, target; destination, endpoint	goal, objective, target, destination, endpoint		
TRUE	verb (transitive)	ci.bə	ciby	mash, squish, turn into paste	mash, squish, paste	materials	
TRUE	noun (inanimate)	ciː	cii	front, place in front of something (inherent, defined by the shape of the thing itself)	front, ahead	spatial	
TRUE	noun (animate)	ciː.baj	ciibai	couple, group of lovers (usually two but not always)	couple, lovers	social	
TRUE	noun (inanimate)	ciːɬ.dø̃	ciihldó	a type of herb with poisonous berries and very hard seeds; (name) Poke	Poke	names, plants	
TRUE	noun (inanimate)	ciːl.ɲẽ	ciilnné	keepsake, memento, heirloom	keepsake, memento, heirloom	objects	
TRUE	noun (inanimate)	ciː.mby	ciimbu	lead (element, related to ciipe 'finally')	lead	materials	
TRUE	adverb	ciː.pe	ciipe	finally, eventually, ultimately, after a chain of causation (implies stable state)	finally, eventually, ultimately, in the end		
TRUE	verb (transitive)	ci.lãː	ciláa	burn, combust, incinerate	burn, combust, incinerate		
TRUE	noun (inanimate)	ci.lel.ʙẽ	cilelvé	polar ring, circle of planetary regions where the surface normal is parallel with axis of rotation; pole	pole, polar ring	spatial	
TRUE	verb (transitive)	ci.ɲaɾ	cinnar	illuminate, light, brighten, turn lights on at; make understandable, serve the community regarding	illuminate, light, brighten		
TRUE	noun (inanimate)	ci.nə̃.ɕã	cinýxá	adventure, undertaking, experience; period of sole focus; drug trip (usually hypnotic rather than chemical, but similar in effect)	adventure, undertaking, experience, focus; trip	social	
TRUE	verb (transitive)	ci.paɕ	cipax	sketch, scribble, mark informally; write or draw using something other than a staff	sketch, scribble, mark, write, draw	art	
TRUE	pronoun	ci.ɾøj	ciroi	this (thing, being, or situation close to or mentioned by both speaker and listener)	this		
TRUE	noun (inanimate)	cis	cis	egg; bulb (nutrient-rich hibernating form of a high altitude plant)	egg, bulb	plants	
TRUE	noun (animate)	ci.sa.li	cisali	Nomai equivalent to primate: an animal of the broader clade in which Nomai evolved, ruminant, ungulate	primate, ruminant, ungulate	animals	
TRUE	noun (inanimate)	cʎaː.ɕi	claaxi	a type of small shrub or herb from dry plains that can be used to make a purplish dye; (name) Spire	spire	names, plants	
TRUE	verb (intransitive)	cʎãɸ	cláf	bump antlers with someone (gesture of trust or joy)	untranslatable	body	
TRUE	adjective	cʎaj	clai	weak, fragile, brittle	weak, fragile, brittle	materials	
TRUE	noun (inanimate)	cʎã.le	clále	bone	bone	body, materials	
TRUE	noun (inanimate)	cʎe.maː	clemaa	shrine, forum, dedicated room for discussion of a set topic	shrine, forum	vessel	
TRUE	noun (inanimate)	cʎeɾ	cler	root-tuber; nexus, central junction; engine room	tuber, nexus, junction	vessel, plants	
TRUE	noun (inanimate)	cʎes	cles	minimal viable solution, simplest approach	minimal viable solution, simplest approach	science	
TRUE	adverb	cʎøɾ	clor	fast, quickly, at high speed	fast, quick, quickly, speed		
TRUE	noun (inanimate)	cʎə̃ː	clýy	light, electromagnetic radiation	light, radiation	science	
TRUE	noun (inanimate)	cø̃	có	part, piece, section, feature	part, piece, section, feature	objects	
TRUE	verb (impersonal)	cøɸ.se	cofse	rain, there be precipitation occurring	rain, precipitation	nature	
TRUE	verb (transitive)	cø̃.həɕ	cóhyx	anger, make angry, cause sense of unfairness in	anger, angry, unfair	sensations, social	
TRUE	determiner	cøj	coi	determiner deictic, near both speaker and listener	this		
TRUE	noun (inanimate)	cø̃jl	cóil	door, gate, entrance, exit (focusing on passage not hatch: a set of double doors is called the singular)	door, gate, entrance, exit	objects, spatial	
TRUE	verb (transitive)	cø̃j.mø	cóimo	gaze at, scope at, look from afar (with third eye or tech)	gaze, scope, look	body	
TRUE	noun (inanimate)	cø̃j.mø.cãwɾ	cóimocáur	overlook, vantage point, viewing spot	overlook, vantage point, viewing spot		
TRUE	noun (inanimate)	cø̃.mø̃.ɲə̃ː	cómónnýy	nitrogen (element)	nitrogen	materials	
TRUE	verb (intransitive)	cø.nã	coná	feel, experience emotion or sensation	feel, experience, emotion, sensation	sensations	
TRUE	noun (inanimate)	cø̃.nøː	cónoo	rhythm, pace, rate, beat	rhythm, pace, rate, beat	time	
TRUE	noun (inanimate)	cø̃ː.nẽ	cóoné	oxygen, the key ingredient of breathable air	oxygen	materials	
TRUE	noun (animate)	cøːs	coos	school, site and institution of learning	school, education, institute		
TRUE	adjective	cy.bøː.biː	cuboobii	ill-defined, ambiguous, underconstrained (technical term)	ill-defined, ambiguous, underconstrained		
TRUE	noun (inanimate)	cy.ha.me	cuhame	weed, sharp or stinging plant	weed	plants	
TRUE	verb (intransitive)	cyj	cui	be thirsty	thirst, thirsty	body, sensations	
TRUE	adjective	cy.pɾa	cupra	strong, powerful; capable of brute force (closer to 'dangerous' than 'resilient')	strong, powerful, force, forceful, brute		
TRUE	noun (inanimate)	cy.ɾã	curá	wood (mass noun for the material)	wood	materials	
TRUE	adjective	cyɾ.bẽ	curbé	sweet, sugary, fructose-flavoured (one of five basic tastes, pillar of Nomai cooking and common in main courses)	sweet, sugary, fructose	food	
TRUE	adjective	cy.sø	cuso	last, final, not followed by any	last, final		
TRUE	noun (inanimate)	cyː	cuu	sprouting spot, new plant life	sprout, new, grow, growth	plants	
TRUE	noun (animate)	cyːl	cuul	adolescent, teen, Nomai of sexually mature but still dependent age	adolescent, teen, youth	family	
TRUE	verb (transitive)	cə̃	cý	spit, spray, gush, flood (emit a liquid)	spit, spray, gush, flood		
TRUE	noun (inanimate)	cə̃.døɬ	cýdohl	letter (of an alphabet), symbol with a phonemic value	letter, symbol, alphabet	letters, language	
TRUE	verb (transitive)	cə.ɸə	cyfy	specialise in, narrow one's attention towards (experiencer makes effort, agent constitutes topic)	specialise, expert, field	social, science	specialise
TRUE	noun (inanimate)	cə̃ɬ	cýhl	(large) lake, water-filled ravine; (alien studies) sea	lake, sea	nature	
TRUE	verb (transitive)	cə̃j.də̃	cýidý	care for, watch over, raise (as child)	care, care for, watch, watch over, raise, parent	social	
TRUE	noun (inanimate)	cəʎ	cyll	glove, mitt, item of clothing for a hoof or extremity	glove, mitt, mitten	objects, clothes	
TRUE	noun (inanimate)	cəʎ wiːʙyː.mã	cyll wiivuumá	sock, shoe, boot, footwear (literally 'shank glove')	sock, shoe, boot, footwear	objects, clothes	
TRUE	noun (inanimate)	cə̃.ni	cýni	thing, concept, deal, abstraction, idea	thing, concept, deal, abstraction, idea		
TRUE	noun (inanimate)	cə.ɲa	cynna	sex (one of variant body types within a species); gender (when qualified with 'brain' or 'mind')	sex, gender	body	
TRUE	noun (inanimate)	cə.nø	cyno	joke, pun, witticism	joke, pun, witticism	language	
TRUE	noun (animate)	cə.ɾel	cyrel	musician, instrument player	musician, instrument player		
TRUE	noun (inanimate)	cə.tɬã	cytlá	node, endpoint, vertex, crossroads, hub, base, fork (of a branch)	node, endpoint, vertex, crossroads, hub		
TRUE	adjective	cəw.he	cyuhe	sleek, silky, with hairs laid flat; calm, sleepy, lethargic	sleek, silky, calm, sleepy, lethargic	body	
TRUE	adverb	cə̃w.jə̃ː	cýujýy	mostly, largely, for the most part	mostly, largely		
TRUE	verb (transitive)	cə.ɕeɾ	cyxer	compensate, rebalance, counteract, account for	compensate, rebalance, counteract, account, account for		
TRUE	particle	cə̃ː	cýy	(before a clause) should, must, ought, better if (marks clause as optative, describing a desirable alternative world)	should, must, ought, better		
TRUE	adjective	cə̃ː.ʎy	cýyllu	opaque, not see-through	opaque		
TRUE	verb (transitive)	cəːɾ	cyyr	resemble, be detectably similar to	resemble, similar, like		
TRUE	noun (inanimate)	cə̃ː.ʙẽs	cýyvés	(element) highly reactive metal	metal, reactive	materials	
TRUE	noun (inanimate)	dãːl.jø	dáaljo	a type of leafy plant that grows along the ground and reroots, resembling stinging plants but harmless; (name) Lami	lami	names, plants	
TRUE	noun (inanimate)	dãːɾ.ɕãɕ	dáarxáx	a type of hardy small tree with thorns and sour berries; (name) Laevi	laevi	names, plants	
TRUE	interjection	dal.tẽ	dalté	(initial greeting on sight, marks openness for a conversation) hello, can we talk	hello, hi, greeting, greetings	social, greetings	
TRUE	noun (inanimate)	da.ni	dani	west, region to west of	west	spatial	
TRUE	noun (inanimate)	dã.ɲø̃	dánnó	phoneme, speech-sound	phoneme, sound	language	
TRUE	adjective	dã.pøɾ	dápor	stupid, indicative of multiple simultaneous failures to think clearly (note: extremely offensive)	stupid		
TRUE	verb (transitive)	das.cə	dascy	comb, rake, manipulate with a many-pronged tool	comb, rake	tools	
TRUE	noun (animate)	das.wa	daswa	laboratory, experimenting ground	laboratory	science	
TRUE	noun (animate)	das.waj dwẽ.nyɾ tãɬ	daswai dwénur táhl	the High Energy Lab	high energy lab	science	
TRUE	noun (inanimate)	dãw	dáu	nerve; wire, conductor, cable	nerve, wire, cable, conductor	body, technology	
TRUE	verb (transitive)	daw.sə	dausy	sabotage, attack, harm, ruin (even if experiencer is a person, the thing harmed is usually their projects or belongings)	sabotage, attack, harm, ruin		
TRUE	noun (inanimate)	dã.ʙøj	dávoi	mural, fresco, graffiti, representative artistic wall painting	mural, fresco, graffiti, painting	art	
TRUE	adjective	da.ʙøː.ɾ	davoor	orange, yellow, greenish yellow (colour detected by a Nomai lower eye's second cone cell)	orange, yellow, green	colours	
TRUE	adjective	da.wə	dawy	long as measured along the surface it rests on or sticks to; wide at the base, stout	long, wide, stout	spatial	
TRUE	adjective	daɕ	dax	small, compact, (spatially) condensed	small, compact, condensed	spatial	
TRUE	verb (transitive)	de	de	rub, scratch, scrub	rub, scratch, scrub		
TRUE	noun (inanimate)	dẽ	dé	reed, cane	reed, cane	objects, plants	
TRUE	noun (inanimate)	deː	dee	the phoneme /d/ and the matching letter	/d/	letters	
TRUE	noun (inanimate)	deː.bã	deebá	tool (chiefly handheld)	tool	tools, objects	
TRUE	verb (transitive)	dẽj.by	déibu	forbid, restrict, deny, {agent} exercise social control over {experiencer}; (archaic) deter, repel (what thorns do to grazers)	forbid, restrict, deny, control, deter, repel	social	
TRUE	verb (intransitive)	de.jy.tɾa	dejutra	gather, convene, party, take part in an arranged event	gather, convene, party, event	social	
TRUE	interjection	del	del	no, wrong (someone stated something and I dispute the statement, meaning I dispute any negatives too); also an answer to yes-no questions whose assumptions are not met	no, wrong		
TRUE	noun (animate)	de.ʎẽs	dellés	group (of animate beings)	group		
TRUE	noun (animate)	de.ʎyɕ	dellux	Nomai equivalent to reptile, chiefly small and insect-eating	reptile, lizard	animals	
TRUE	adjective	de.me	deme	faithful, realistic, representative, accurate, mundane	faithful, realistic, representative, accurate, mundane		
TRUE	noun (inanimate)	dẽ.pa	dépa	a type of short-lived quickly-spreading plant with small flowers, (name) Keek	keek	names, plants	
TRUE	noun (inanimate)	de.sã	desá	machine, device, gadget	machine, device, gadget	tools, objects	
TRUE	noun (inanimate)	de.te	dete	chunk, angular fragment, crystal	chunk, fragment, crystal	objects	
TRUE	noun (inanimate)	de.te pø.ʙaɕ.ʙyː.mã	dete povaxvuumá	gravity crystal	gravity crystal	objects	
TRUE	verb (transitive)	dẽw	déu	err, stray from, mess up, make a mistake with	err, error, stray, mess, mistake		
TRUE	adjective	dew.ɾøː	deuroo	foggy, murky, partly opaque or transparent; (communication link) poor, unstable, spotty	foggy, murky, opaque, poor, unstable, spotty		
TRUE	noun (inanimate)	di	di	snout, body part containing the lips and nostrils, somewhat protruding on a Nomai	snout	body	
TRUE	verb (transitive)	di.bys	dibus	reside at, live off of, depend on (what Nomai do to their own vessel)	reside, live, depend	vessel	
TRUE	verb (transitive)	di.byː	dibuu	split, divide, allocate, distribute	split, divide, allocate, distribute		
TRUE	pronoun	diː	dii	you all, 2P, second-person plural pronoun	you		
TRUE	noun (animate)	diː.jẽ	diijé	parent	parent	family	
TRUE	adjective	di.ɕəː	dixyy	thin, planar, flat, low-thickness	thin, planar, flat	spatial	
TRUE	verb (transitive)	dø	do	give, share, distribute, hand out, make available	give, share, distribute		
TRUE	noun (inanimate)	dø.ɸã	dofá	ray, sightline, (sonar) ping, point measurement	ray, sightline, ping	spatial, science	
